Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
2375,Raheem Sterling,ENG,FW,Manchester City,Premier League,22,1994,28.7,1205,1188,17,1,4,265,11,47,5,1,0,0,1036,67,102,171,995,24,6,6,999,0,11,26,60
2376,Ognjen Stijepovic,MNE,MF,UC Sampdoria,Serie A,17,1999,0.1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2377,Lars Stindl,DEU,FW,Borussia Mönchengladbach,Bundesliga,28,1988,30.3,1563,1516,47,10,7,374,24,13,7,5,2,0,1134,268,161,313,1132,63,12,6,1283,10,20,32,57
2378,Valentin Stocker,CHE,MF,Hertha BSC,Bundesliga,28,1989,0.6,17,17,0,0,0,1,0,0,0,0,0,0,9,5,3,9,3,4,0,0,11,0,1,0,2
2379,Adrian Stoian,ROU,MF,FC Crotone,Serie A,26,1991,23.7,1025,992,33,12,3,194,25,57,5,3,0,0,480,232,313,160,798,41,15,6,628,9,37,29,60
2380,John Stones,ENG,DF,Manchester City,Premier League,23,1994,14.5,1214,1208,6,5,0,117,32,0,0,0,0,0,1084,38,92,128,1036,40,1,1,1161,0,13,7,2
2381,Thomas Strakosha,ALB,GK,SS Lazio,Serie A,22,1995,38.0,1104,789,315,65,0,122,50,0,0,0,0,0,499,85,520,63,859,0,0,163,810,5,42,4,4
2382,Ivan Strinic,HRV,DF,UC Sampdoria,Serie A,30,1987,13.9,843,729,114,13,0,84,13,37,1,0,0,0,506,131,206,622,81,34,100,1,659,2,11,18,27
2383,Tobias Strobl,DEU,MF,Borussia Mönchengladbach,Bundesliga,27,1990,1.3,71,71,0,0,1,17,0,0,0,0,0,0,41,18,12,5,55,4,0,3,63,0,3,1,0
2384,Kevin Strootman,NLD,MF,AS Roma,Serie A,27,1990,25.1,1478,1431,47,25,1,255,23,22,3,1,0,0,1072,163,243,1170,199,68,18,4,1233,9,19,22,25
2385,Jens Stryger Larsen,DNK,DF,Udinese Calcio,Serie A,26,1991,28.1,1335,1131,204,34,0,150,24,17,1,0,0,0,855,186,294,127,972,46,169,3,1078,2,23,21,23
2386,Cristhian Stuani,URY,FW,Girona FC,La Liga,30,1986,29.9,480,435,45,0,0,117,5,4,0,0,0,0,252,107,121,38,267,102,0,21,312,3,10,12,16
2387,Stefano Sturaro,ITA,MF,Juventus FC,Serie A,24,1993,6.8,296,279,17,9,0,47,13,4,1,0,0,0,204,42,50,49,217,13,7,0,239,3,4,2,8
2388,Daniel Sturridge,ENG,FW,Liverpool FC,Premier League,27,1989,4.8,127,121,6,1,0,34,1,1,0,0,0,0,103,12,12,92,26,4,0,3,101,1,0,4,6
2389,Daniel Sturridge,ENG,FW,West Bromwich Albion,Premier League,27,1989,1.3,31,28,3,0,0,8,0,2,0,0,0,0,19,2,10,24,5,2,0,0,23,0,1,1,1
2390,Damián Suárez,URY,DF,Getafe CF,La Liga,29,1988,32.0,1646,1172,474,87,1,235,71,48,42,0,0,0,677,344,625,104,1032,147,345,3,1149,8,46,32,66
2391,Denis Suárez,ESP,MF,FC Barcelona,La Liga,23,1994,6.7,379,355,24,4,1,54,7,6,19,1,0,1,332,10,37,48,324,4,1,1,311,2,3,11,10
2392,Leo Suárez,ARG,MF,Villarreal CF,La Liga,21,1996,0.3,10,10,0,0,0,4,2,0,0,0,0,0,7,0,3,9,1,0,0,0,7,0,1,0,2
2393,Luis Suárez,URY,FW,FC Barcelona,La Liga,30,1987,32.2,1070,1012,58,0,4,196,37,40,1,0,0,0,815,151,104,207,817,25,7,12,812,5,16,35,44
2394,Danijel Subasic,HRV,GK,AS Monaco,Ligue 1,32,1984,32.7,643,450,193,53,0,89,23,0,0,0,0,0,256,24,363,49,477,0,0,86,400,0,13,2,3
2395,Neven Subotic,SRB,DF,AS Saint-Étienne,Ligue 1,28,1988,16.0,831,825,6,6,3,117,29,2,0,0,0,0,643,38,150,145,621,50,0,1,704,0,12,8,7
2396,Neven Subotic,SRB,DF,Borussia Dortmund,Bundesliga,28,1988,3.0,251,242,9,9,0,32,7,0,0,0,0,0,200,17,34,46,190,9,0,0,225,0,3,3,0
2397,Isaac Success,NGA,MF,Málaga CF,La Liga,21,1996,5.4,142,142,0,0,1,37,5,13,0,0,0,0,107,11,24,26,106,8,0,0,86,0,8,6,7
2398,Niklas Süle,DEU,DF,Bayern Munich,Bundesliga,21,1995,21.4,1598,1564,34,29,2,180,53,6,0,0,0,0,1310,125,163,259,1238,63,5,9,1482,1,14,9,5
2399,Sung-yueng Ki,KOR,MF,Swansea City,Premier League,28,1989,20.8,899,801,98,52,1,173,54,19,41,3,0,1,679,56,164,146,714,36,0,0,751,3,10,18,13
2400,Gilles Sunu,TGO,MF,SCO Angers,Ligue 1,26,1991,7.3,262,253,9,2,2,60,4,12,0,0,0,0,191,28,43,36,197,19,5,2,203,1,3,7,11
2401,Andrew Surman,ENG,MF,AFC Bournemouth,Premier League,30,1986,20.6,1169,1124,45,21,0,210,42,9,18,2,1,0,826,121,222,904,160,83,2,4,969,1,18,27,16
2402,Markel Susaeta,ESP,FW,Athletic Bilbao,La Liga,29,1987,25.1,1003,870,133,46,0,185,55,68,76,0,0,0,679,88,236,120,827,39,7,1,740,3,15,20,34
2403,Suso,ESP,FW,AC Milan,Serie A,23,1993,31.4,1634,1498,136,23,2,328,89,128,90,18,3,4,1080,209,345,1387,197,15,22,9,1185,6,36,51,68
2404,Markus Suttner,AUT,DF,Brighton & Hove Albion,Premier League,30,1987,13.1,604,481,123,9,0,103,21,32,4,1,0,2,265,89,250,425,29,31,110,1,431,2,17,9,18
2405,Seydou Sy,SEN,GK,AS Monaco,Ligue 1,21,1995,2.8,75,42,33,6,0,6,0,0,0,0,0,0,22,1,52,1,61,0,0,9,42,0,1,0,1
2406,Issiaga Sylla,GIN,DF,FC Toulouse,Ligue 1,23,1994,17.8,848,723,125,10,0,158,25,59,1,0,0,0,460,128,260,539,99,69,113,2,593,5,27,28,34
2407,Moussa Sylla,FRA,FW,AS Monaco,Ligue 1,17,1999,3.4,68,64,4,0,1,13,0,2,0,0,0,0,39,11,18,10,37,16,1,0,39,0,0,3,4
2408,Ádám Szalai,HUN,FW,TSG 1899 Hoffenheim,Bundesliga,29,1987,10.0,223,207,16,0,2,61,1,5,0,0,0,0,117,65,41,34,127,27,0,15,165,1,8,2,4
2409,Wojciech Szczesny,POL,GK,Juventus FC,Serie A,27,1990,17.0,439,325,114,29,0,46,19,0,0,0,0,0,204,40,195,26,328,1,0,74,348,3,14,2,0
2410,Alexander Söderlund,NOR,FW,AS Saint-Étienne,Ligue 1,29,1987,4.0,68,66,2,0,0,15,0,1,0,0,0,0,45,9,14,9,40,12,0,4,51,0,2,3,3
2411,Frederik Sörensen,DNK,DF,1. FC Köln,Bundesliga,25,1992,22.2,1010,876,134,23,0,120,44,7,0,0,0,0,516,158,336,91,710,68,111,1,731,4,27,18,19
2412,Lasse Sörensen,DNK,MF,Stoke City,Premier League,17,1999,0.8,56,55,1,1,0,7,0,1,0,0,0,0,41,1,14,5,47,3,0,0,43,1,1,1,0
2413,Alexander Sörloth,NOR,FW,Crystal Palace,Premier League,21,1995,4.0,109,103,6,0,0,27,2,5,0,0,0,0,53,20,36,52,26,19,0,1,66,0,6,0,7
2414,Adel Taarabt,MAR,FW,Genoa CFC,Serie A,28,1989,17.9,743,703,40,6,5,113,14,32,13,1,5,1,537,133,73,62,648,17,5,9,572,2,16,23,27
2415,Franck Tabanou,FRA,DF,EA Guingamp,Ligue 1,28,1989,11.6,594,471,123,12,1,85,22,38,2,0,0,0,291,78,225,400,42,36,109,0,430,4,20,16,20
2416,Dusan Tadic,SRB,MF,Southampton FC,Premier League,28,1988,31.0,1237,1166,71,8,6,247,39,98,30,0,0,1,820,151,266,897,275,36,13,12,861,6,29,46,62
2417,Jonathan Tah,DEU,DF,Bayer 04 Leverkusen,Bundesliga,21,1996,27.0,1466,1425,41,38,1,222,32,3,0,0,0,0,1117,140,209,209,1113,104,3,6,1259,3,36,10,21
2418,Ervin Taha,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,1999,0.4,15,15,0,0,0,0,0,0,0,0,0,0,10,2,3,0,13,2,0,0,12,0,0,1,1
2419,Mehdi Tahrat,DZA,MF,SCO Angers,Ligue 1,27,1990,4.9,226,226,0,0,0,37,4,0,0,0,0,0,140,12,74,38,141,36,0,2,160,0,7,7,4
