Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
123,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
124,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,17,1.59,13,2,0,0,0,2,1,0.09,0,0,0,0,0,1
125,Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.1,1,0.49,1,0,0,0,0,0,1,0.49,1,0,0,0,0,0
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,31,1.78,27,1,1,0,2,0,4,0.23,3,0,1,0,0,0
127,Takuma Asano\Takuma-Asano,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8.0,19,2.38,16,0,2,0,0,1,1,0.13,1,0,0,0,0,0
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,25,0.94,17,0,1,2,4,1,1,0.04,0,0,0,1,0,0
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
130,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,100,4.89,80,9,4,4,3,0,13,0.64,13,0,0,0,0,0
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,114,3.49,89,5,12,3,4,1,15,0.46,11,0,4,0,0,0
132,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,15,1.28,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0
133,Simon Asta\Simon-Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
134,Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,19,0.76,18,0,0,0,0,1,1,0.04,1,0,0,0,0,0
135,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,25,1992,19.8,47,2.37,36,1,5,1,4,0,5,0.25,3,0,1,1,0,0
136,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,25,2.13,21,0,1,2,1,0,8,0.68,6,0,0,1,1,0
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,34,2.16,23,0,3,6,1,1,10,0.64,4,0,2,3,1,0
138,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,33,2.33,21,0,5,3,4,0,8,0.57,7,0,0,0,1,0
139,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DFMF,Werder Bremen,de Bundesliga,23,1994,28.1,56,1.99,38,12,0,5,1,0,2,0.07,0,1,0,1,0,0
140,Yann Aurel Bisseck\Yann-Aurel-Bisseck,de GER,DFFW,Köln,de Bundesliga,16,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
141,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,34,2.14,27,1,2,3,1,0,4,0.25,1,0,1,1,1,0
142,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,19,1.65,13,0,2,3,1,0,2,0.17,1,0,0,1,0,0
143,Danilo Avelar\Danilo-Avelar,br BRA,DFFW,Amiens,fr Ligue 1,28,1989,19.2,28,1.46,23,3,0,0,2,0,4,0.21,4,0,0,0,0,0
144,Felipe Avenatti\Felipe-Avenatti,uy URU,FWMF,Bologna,it Serie A,24,1993,5.2,5,0.97,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
145,Durel Avounou\Durel-Avounou,cg CGO,MFDF,Caen,fr Ligue 1,19,1997,7.2,6,0.82,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
146,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,11,0.66,7,0,1,2,1,0,1,0.06,1,0,0,0,0,0
147,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,eng Premier League,27,1989,10.6,21,1.99,16,1,1,2,1,0,4,0.38,2,0,0,1,1,0
148,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,eng Premier League,27,1989,9.9,13,1.31,7,0,4,0,2,0,4,0.40,3,0,1,0,0,0
149,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,eng Premier League,25,1991,31.7,66,2.08,30,1,13,8,11,3,4,0.13,1,0,1,2,0,0
150,Karim Azamoum\Karim-Azamoum,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.3,48,1.91,31,9,0,3,0,5,1,0.04,1,0,0,0,0,0
151,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27,1989,37.0,59,1.59,55,1,0,2,0,1,8,0.22,8,0,0,0,0,0
152,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,17,1.32,14,1,1,0,0,1,2,0.16,2,0,0,0,0,0
