Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribSucc,DribAtt,DribSucc%,DribPl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,PR_Prog
107,Emmanuel Apeh,NGA,MF,Celta de Vigo,La Liga,21,1996,0.2,9,0,0,4,7,1,9,0,1,0.0,0,0,9,17,1,0,0,0,0,1,14,8,57.1,5
108,Mauro Arambarri,URY,MF,Getafe CF,La Liga,22,1995,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,2880,1151,42,18,5,29,22,609,505,82.9,43
109,Guilherme Arana,BRA,MF,Sevilla FC,La Liga,21,1997,7.0,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1157,694,42,8,4,3,1,226,208,92.0,9
110,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,29,1989,21.0,1884,50,325,1257,402,41,1840,21,30,70.0,21,0,1384,5142,2557,116,38,4,30,24,1516,1403,92.5,81
111,Luiz Araújo,BRA,FW,LOSC Lille,Ligue 1,22,1996,8.7,440,3,56,203,220,19,412,26,40,65.0,31,1,350,1887,1151,50,12,8,20,20,384,320,83.3,50
112,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,26,1991,29.8,1791,245,969,853,53,21,1745,3,4,75.0,4,0,1117,4779,2347,48,4,0,1,5,1180,1161,98.4,14
113,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,31,1987,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6032,2926,106,31,1,10,4,746,723,96.9,15
114,Joaquín Ardaiz,URY,FW,Frosinone Calcio,Serie A,19,1999,0.2,6,0,0,4,3,0,6,0,0,,0,0,4,28,18,1,1,0,0,2,11,4,36.4,1
115,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,25,1993,21.0,546,488,544,3,0,0,389,0,0,,0,0,260,1183,635,0,0,0,0,0,229,229,100.0,0
116,Santiago Arias,COL,DF,Atlético de Madrid,La Liga,26,1992,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3547,1980,112,35,3,10,9,742,657,88.5,46
117,Lorenzo Ariaudo,ITA,DF,Frosinone Calcio,Serie A,29,1989,18.7,811,176,516,342,22,14,777,3,3,100.0,3,0,450,3149,1734,17,3,0,3,1,465,453,97.4,13
118,Nicolò Armini,ITA,DF,SS Lazio,Serie A,17,2001,0.4,26,2,12,17,3,0,24,0,0,,0,0,20,187,145,1,1,0,0,0,19,19,100.0,0
119,Yoël Armougom,FRA,DF,SM Caen,Ligue 1,20,1998,20.6,1116,50,359,601,236,11,932,19,40,47.5,23,1,661,3379,1935,81,25,4,21,10,715,622,87.0,34
120,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,26,1992,15.9,857,19,104,387,433,53,825,18,28,64.3,18,1,624,3256,1625,84,37,8,36,31,782,609,77.9,91
121,José Manuel Arnáiz,ESP,DF,CD Leganés,La Liga,23,1995,1.3,52,1,10,22,26,6,51,4,8,50.0,6,0,44,223,97,7,2,2,4,3,45,36,80.0,10
122,Marko Arnautovic,AUT,FW,West Ham United,Premier League,29,1989,22.1,867,10,51,330,541,139,825,28,38,73.7,29,1,661,2873,1130,65,23,19,47,40,1128,691,61.3,257
123,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,24,1994,31.9,1775,77,403,1017,470,28,1584,22,29,75.9,23,0,1155,5487,2892,99,26,4,19,28,1192,1050,88.1,105
124,Kepa,ESP,GK,Chelsea FC,Premier League,23,1994,36.0,1208,1071,1201,7,0,0,925,1,1,100.0,1,0,691,2332,1118,0,0,0,0,2,623,623,100.0,0
125,Harry Arter,IRL,MF,Cardiff City,Premier League,28,1989,22.2,857,31,157,516,231,21,798,7,9,77.8,7,0,469,1802,872,36,21,3,16,7,520,424,81.5,31
126,Kwadwo Asamoah,GHA,DF,Inter Milan,Serie A,29,1988,29.7,2480,79,631,1379,669,33,2269,53,73,72.6,54,1,1898,8654,5389,237,84,14,23,20,1855,1774,95.6,63
127,Takuma Asano,JPN,MF,Hannover 96,Bundesliga,23,1994,7.8,286,3,39,130,143,20,284,9,20,45.0,9,0,227,1177,608,25,8,2,29,19,334,212,63.5,71
128,Santiago Ascacíbar,ARG,MF,VfB Stuttgart,Bundesliga,21,1997,27.0,1433,68,363,871,266,22,1404,10,17,58.8,11,0,849,3809,1925,97,25,2,22,17,856,777,90.8,44
129,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,29,1989,32.0,929,841,923,6,0,0,600,0,0,,0,0,336,1983,1089,0,0,0,0,0,246,246,100.0,0
130,Marco Asensio,ESP,FW,Real Madrid,La Liga,22,1996,19.8,1233,7,104,578,675,106,1182,36,56,64.3,38,4,1076,6974,3686,189,59,23,34,27,1214,994,81.9,184
131,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,30,1987,25.0,1142,5,86,569,570,123,1086,35,53,66.0,37,1,888,4402,2277,119,44,17,41,38,1280,900,70.3,255
132,Simon Asta,DEU,DF,FC Augsburg,Bundesliga,17,2001,1.0,51,3,15,25,14,0,46,2,3,66.7,2,0,24,118,70,3,2,0,1,0,29,25,86.2,0
133,Christian Atsu,GHA,MF,Newcastle United,Premier League,26,1992,16.6,659,17,110,305,318,43,650,31,59,52.5,33,2,523,3031,1639,80,32,9,32,32,691,448,64.8,97
134,Youcef Atal,DZA,DF,OGC Nice,Ligue 1,22,1996,25.1,1765,67,389,858,692,90,1575,110,200,55.0,119,10,1325,7176,5019,244,70,35,89,50,1317,1138,86.4,115
135,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,29,1989,30.3,1074,18,94,446,600,157,1031,29,56,51.8,32,0,808,4133,2303,138,36,31,67,37,1450,831,57.3,292
