Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
240,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,es La Liga,27,1990,31.2,578,788,73.4,8198,1877,360,439,82.0,167,233,71.7,34,66,51.5,9,6.6,+2.4,41,47,27,6,56
241,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,22.9,459,618,74.3,13523,8579,63,63,100.0,248,250,99.2,148,304,48.7,0,0.0,0.0,0,2,0,0,0
242,Marco Benassi\Marco-Benassi,it ITA,MF,Fiorentina,it Serie A,23,1994,25.4,632,837,75.5,11015,3655,299,372,80.4,256,317,80.8,71,113,62.8,1,1.7,-0.7,25,74,22,11,97
243,Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,it Serie A,31,1987,5.0,292,324,90.1,6707,2286,66,73,90.4,172,181,95.0,53,68,77.9,0,0.0,0.0,0,17,0,0,16
244,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,29,1989,15.1,785,944,83.2,13043,5018,398,448,88.8,304,354,85.9,66,100,66.0,4,1.3,+2.7,12,67,11,2,84
245,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,29,1989,22.1,1499,1647,91.0,31521,8482,418,450,92.9,819,874,93.7,248,304,81.6,0,0.2,-0.2,3,60,3,0,75
246,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,20,1997,0.3,11,17,64.7,190,62,3,5,60.0,5,5,100.0,1,4,25.0,0,0.0,0.0,0,0,0,0,1
247,Nicolas Benezet\Nicolas-Benezet,fr FRA,MFFW,Guingamp,fr Ligue 1,27,1991,18.5,624,911,68.5,10504,3225,335,422,79.4,211,304,69.4,68,151,45.0,1,3.7,-2.7,45,46,18,3,67
248,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35.0,895,1143,78.3,25176,15598,133,133,100.0,472,479,98.5,288,528,54.5,0,0.0,0.0,0,2,0,0,0
249,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Empoli,it Serie A,20,1997,32.9,1664,1997,83.3,33777,9378,583,642,90.8,785,889,88.3,274,417,65.7,5,2.5,+2.5,34,163,26,1,185
250,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,eng Premier League,28,1990,29.3,640,947,67.6,11667,6053,287,346,82.9,264,372,71.0,79,190,41.6,1,1.1,-0.1,13,75,14,9,70
251,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,eng Premier League,28,1990,34.0,1095,1387,78.9,23131,7322,345,393,87.8,547,636,86.0,190,338,56.2,0,0.4,-0.4,5,97,2,0,85
